"Time Window","SYN Rate","SYN Percentage","Port Spread","ACK Response Rate","Source Diversity","Scan Intensity","Risk Assessment","Scan Archetype","Suggested Action","Explanation"
"very-short","moderate","moderate","broad sweep","partial response","centralized","High","elevated","ambiguous","Throttle source IP","moderate SYN rate; broad port sweep; single/few sources; over very-short timeframe"
"very-short","moderate","moderate","broad sweep","partial response","moderately distributed","High","elevated","ambiguous","Throttle source IP","moderate SYN rate; broad port sweep; over very-short timeframe"
"very-short","moderate","moderate","broad sweep","partial response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; broad port sweep; highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","moderate","moderate","broad sweep","widespread response","centralized","High","elevated","ambiguous","Throttle source IP","moderate SYN rate; broad port sweep; single/few sources; over very-short timeframe"
"very-short","moderate","moderate","broad sweep","widespread response","moderately distributed","High","elevated","ambiguous","Throttle source IP","moderate SYN rate; broad port sweep; over very-short timeframe"
"very-short","moderate","moderate","broad sweep","widespread response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; broad port sweep; highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","moderate","moderate","broad sweep","broad response","centralized","High","elevated","ambiguous","Throttle source IP","moderate SYN rate; broad port sweep; single/few sources; over very-short timeframe"
"very-short","moderate","moderate","broad sweep","broad response","moderately distributed","High","elevated","ambiguous","Throttle source IP","moderate SYN rate; broad port sweep; over very-short timeframe"
"very-short","moderate","moderate","broad sweep","broad response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; broad port sweep; highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","moderate","moderate","broad sweep","complete response","centralized","High","none","likely benign","Monitor only","moderate SYN rate; broad port sweep; single/few sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","moderate","moderate","broad sweep","complete response","moderately distributed","High","none","likely benign","Monitor only","moderate SYN rate; broad port sweep; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","moderate","moderate","broad sweep","complete response","highly distributed","High","none","likely benign","Monitor only","moderate SYN rate; broad port sweep; highly distributed sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","moderate","dominant","one","no response","centralized","Moderate","moderate","classic","Alert SOC","single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","moderate","dominant","one","minimal response","centralized","Moderate","moderate","classic","Alert SOC","single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","moderate","dominant","one","partial response","centralized","Moderate","moderate","classic","Alert SOC","single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","moderate","dominant","one","widespread response","centralized","Moderate","moderate","classic","Alert SOC","single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","moderate","dominant","one","broad response","centralized","Moderate","moderate","classic","Alert SOC","single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","moderate","dominant","one","complete response","centralized","Moderate","none","likely benign","Monitor only","single/few sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","moderate","dominant","a few","no response","centralized","Moderate","moderate","classic","Alert SOC","single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","moderate","dominant","a few","no response","moderately distributed","Moderate","moderate","ambiguous","Alert SOC","minimal ACK responses; over very-short timeframe"
"very-short","moderate","dominant","a few","no response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; minimal ACK responses; over very-short timeframe; = distributed scanning"
"very-short","moderate","dominant","a few","minimal response","centralized","Moderate","moderate","classic","Alert SOC","single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","moderate","dominant","a few","minimal response","moderately distributed","Moderate","moderate","ambiguous","Alert SOC","minimal ACK responses; over very-short timeframe"
"very-short","moderate","dominant","a few","minimal response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; minimal ACK responses; over very-short timeframe; = distributed scanning"
"very-short","moderate","dominant","a few","partial response","centralized","Moderate","moderate","classic","Alert SOC","single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","moderate","dominant","a few","partial response","moderately distributed","Moderate","moderate","ambiguous","Alert SOC","over very-short timeframe"
"very-short","moderate","dominant","a few","partial response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","moderate","dominant","a few","widespread response","centralized","Moderate","moderate","classic","Alert SOC","single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","moderate","dominant","a few","widespread response","moderately distributed","Moderate","moderate","ambiguous","Alert SOC","over very-short timeframe"
"very-short","moderate","dominant","a few","widespread response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","moderate","dominant","a few","broad response","centralized","Moderate","moderate","classic","Alert SOC","single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","moderate","dominant","a few","broad response","moderately distributed","Moderate","moderate","ambiguous","Alert SOC","over very-short timeframe"
"very-short","moderate","dominant","a few","broad response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","moderate","dominant","a few","complete response","centralized","Moderate","none","likely benign","Monitor only","single/few sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","moderate","dominant","a few","complete response","moderately distributed","Moderate","none","likely benign","Monitor only","complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","moderate","dominant","a few","complete response","highly distributed","Moderate","none","likely benign","Monitor only","highly distributed sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","moderate","dominant","several","no response","centralized","Moderate","moderate","classic","Alert SOC","single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","moderate","dominant","several","no response","moderately distributed","Moderate","moderate","ambiguous","Alert SOC","minimal ACK responses; over very-short timeframe"
"very-short","moderate","dominant","several","no response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; minimal ACK responses; over very-short timeframe; = distributed scanning"
"very-short","moderate","dominant","several","minimal response","centralized","Moderate","moderate","classic","Alert SOC","single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","moderate","dominant","several","minimal response","moderately distributed","Moderate","moderate","ambiguous","Alert SOC","minimal ACK responses; over very-short timeframe"
"very-short","moderate","dominant","several","minimal response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; minimal ACK responses; over very-short timeframe; = distributed scanning"
"very-short","moderate","dominant","several","partial response","centralized","Moderate","moderate","classic","Alert SOC","single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","moderate","dominant","several","partial response","moderately distributed","Moderate","moderate","ambiguous","Alert SOC","over very-short timeframe"
"very-short","moderate","dominant","several","partial response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","moderate","dominant","several","widespread response","centralized","Moderate","moderate","classic","Alert SOC","single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","moderate","dominant","several","widespread response","moderately distributed","Moderate","moderate","ambiguous","Alert SOC","over very-short timeframe"
"very-short","moderate","dominant","several","widespread response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","moderate","dominant","several","broad response","centralized","Moderate","moderate","classic","Alert SOC","single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","moderate","dominant","several","broad response","moderately distributed","Moderate","moderate","ambiguous","Alert SOC","over very-short timeframe"
"very-short","moderate","dominant","several","broad response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","moderate","dominant","several","complete response","centralized","Moderate","none","likely benign","Monitor only","single/few sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","moderate","dominant","several","complete response","moderately distributed","Moderate","none","likely benign","Monitor only","complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","moderate","dominant","several","complete response","highly distributed","Moderate","none","likely benign","Monitor only","highly distributed sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","moderate","dominant","many","no response","centralized","High","elevated","classic","Throttle source IP","moderate SYN rate; multiple ports targeted; single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","moderate","dominant","many","no response","moderately distributed","High","elevated","ambiguous","Throttle source IP","moderate SYN rate; multiple ports targeted; minimal ACK responses; over very-short timeframe"
"very-short","moderate","dominant","many","no response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; multiple ports targeted; highly distributed sources; minimal ACK responses; over very-short timeframe; = distributed scanning"
"very-short","moderate","dominant","many","minimal response","centralized","High","elevated","classic","Throttle source IP","moderate SYN rate; multiple ports targeted; single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","moderate","dominant","many","minimal response","moderately distributed","High","elevated","ambiguous","Throttle source IP","moderate SYN rate; multiple ports targeted; minimal ACK responses; over very-short timeframe"
"very-short","moderate","dominant","many","minimal response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; multiple ports targeted; highly distributed sources; minimal ACK responses; over very-short timeframe; = distributed scanning"
"very-short","moderate","dominant","many","partial response","centralized","High","elevated","classic","Throttle source IP","moderate SYN rate; multiple ports targeted; single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","moderate","dominant","many","partial response","moderately distributed","High","elevated","ambiguous","Throttle source IP","moderate SYN rate; multiple ports targeted; over very-short timeframe"
"very-short","moderate","dominant","many","partial response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; multiple ports targeted; highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","moderate","dominant","many","widespread response","centralized","High","elevated","classic","Throttle source IP","moderate SYN rate; multiple ports targeted; single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","moderate","dominant","many","widespread response","moderately distributed","High","elevated","ambiguous","Throttle source IP","moderate SYN rate; multiple ports targeted; over very-short timeframe"
"very-short","moderate","dominant","many","widespread response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; multiple ports targeted; highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","moderate","dominant","many","broad response","centralized","High","elevated","classic","Throttle source IP","moderate SYN rate; multiple ports targeted; single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","moderate","dominant","many","broad response","moderately distributed","High","elevated","ambiguous","Throttle source IP","moderate SYN rate; multiple ports targeted; over very-short timeframe"
"very-short","moderate","dominant","many","broad response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; multiple ports targeted; highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","moderate","dominant","many","complete response","centralized","High","none","likely benign","Monitor only","moderate SYN rate; multiple ports targeted; single/few sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","moderate","dominant","many","complete response","moderately distributed","High","none","likely benign","Monitor only","moderate SYN rate; multiple ports targeted; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","moderate","dominant","many","complete response","highly distributed","High","none","likely benign","Monitor only","moderate SYN rate; multiple ports targeted; highly distributed sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","moderate","dominant","broad sweep","no response","centralized","High","critical","classic","Block temporarily","moderate SYN rate; broad port sweep; single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","moderate","dominant","broad sweep","no response","moderately distributed","High","critical","ambiguous","Block temporarily","moderate SYN rate; broad port sweep; minimal ACK responses; over very-short timeframe"
"very-short","moderate","dominant","broad sweep","no response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; broad port sweep; highly distributed sources; minimal ACK responses; over very-short timeframe; = distributed scanning"
"very-short","moderate","dominant","broad sweep","minimal response","centralized","High","critical","classic","Block temporarily","moderate SYN rate; broad port sweep; single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","moderate","dominant","broad sweep","minimal response","moderately distributed","High","critical","ambiguous","Block temporarily","moderate SYN rate; broad port sweep; minimal ACK responses; over very-short timeframe"
"very-short","moderate","dominant","broad sweep","minimal response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; broad port sweep; highly distributed sources; minimal ACK responses; over very-short timeframe; = distributed scanning"
"very-short","moderate","dominant","broad sweep","partial response","centralized","High","critical","classic","Block temporarily","moderate SYN rate; broad port sweep; single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","moderate","dominant","broad sweep","partial response","moderately distributed","High","critical","ambiguous","Block temporarily","moderate SYN rate; broad port sweep; over very-short timeframe"
"very-short","moderate","dominant","broad sweep","partial response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; broad port sweep; highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","moderate","dominant","broad sweep","widespread response","centralized","High","critical","classic","Block temporarily","moderate SYN rate; broad port sweep; single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","moderate","dominant","broad sweep","widespread response","moderately distributed","High","critical","ambiguous","Block temporarily","moderate SYN rate; broad port sweep; over very-short timeframe"
"very-short","moderate","dominant","broad sweep","widespread response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; broad port sweep; highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","moderate","dominant","broad sweep","broad response","centralized","High","critical","classic","Block temporarily","moderate SYN rate; broad port sweep; single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","moderate","dominant","broad sweep","broad response","moderately distributed","High","critical","ambiguous","Block temporarily","moderate SYN rate; broad port sweep; over very-short timeframe"
"very-short","moderate","dominant","broad sweep","broad response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; broad port sweep; highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","moderate","dominant","broad sweep","complete response","centralized","High","none","likely benign","Monitor only","moderate SYN rate; broad port sweep; single/few sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","moderate","dominant","broad sweep","complete response","moderately distributed","High","none","likely benign","Monitor only","moderate SYN rate; broad port sweep; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","moderate","dominant","broad sweep","complete response","highly distributed","High","none","likely benign","Monitor only","moderate SYN rate; broad port sweep; highly distributed sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","moderate","overwhelming","one","no response","centralized","High","elevated","classic","Throttle source IP","moderate SYN rate; single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","moderate","overwhelming","one","minimal response","centralized","High","elevated","classic","Throttle source IP","moderate SYN rate; single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","moderate","overwhelming","one","partial response","centralized","High","elevated","classic","Throttle source IP","moderate SYN rate; single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","moderate","overwhelming","one","widespread response","centralized","High","elevated","classic","Throttle source IP","moderate SYN rate; single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","moderate","overwhelming","one","broad response","centralized","High","elevated","classic","Throttle source IP","moderate SYN rate; single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","moderate","overwhelming","one","complete response","centralized","High","none","likely benign","Monitor only","moderate SYN rate; single/few sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","moderate","overwhelming","a few","no response","centralized","High","elevated","classic","Throttle source IP","moderate SYN rate; single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","moderate","overwhelming","a few","no response","moderately distributed","High","elevated","ambiguous","Throttle source IP","moderate SYN rate; minimal ACK responses; over very-short timeframe"
"very-short","moderate","overwhelming","a few","no response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; highly distributed sources; minimal ACK responses; over very-short timeframe; = distributed scanning"
"very-short","moderate","overwhelming","a few","minimal response","centralized","High","elevated","classic","Throttle source IP","moderate SYN rate; single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","moderate","overwhelming","a few","minimal response","moderately distributed","High","elevated","ambiguous","Throttle source IP","moderate SYN rate; minimal ACK responses; over very-short timeframe"
"very-short","moderate","overwhelming","a few","minimal response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; highly distributed sources; minimal ACK responses; over very-short timeframe; = distributed scanning"
"very-short","moderate","overwhelming","a few","partial response","centralized","High","elevated","classic","Throttle source IP","moderate SYN rate; single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","moderate","overwhelming","a few","partial response","moderately distributed","High","elevated","ambiguous","Throttle source IP","moderate SYN rate; over very-short timeframe"
"very-short","moderate","overwhelming","a few","partial response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","moderate","overwhelming","a few","widespread response","centralized","High","elevated","classic","Throttle source IP","moderate SYN rate; single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","moderate","overwhelming","a few","widespread response","moderately distributed","High","elevated","ambiguous","Throttle source IP","moderate SYN rate; over very-short timeframe"
"very-short","moderate","overwhelming","a few","widespread response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","moderate","overwhelming","a few","broad response","centralized","High","elevated","classic","Throttle source IP","moderate SYN rate; single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","moderate","overwhelming","a few","broad response","moderately distributed","High","elevated","ambiguous","Throttle source IP","moderate SYN rate; over very-short timeframe"
"very-short","moderate","overwhelming","a few","broad response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","moderate","overwhelming","a few","complete response","centralized","High","none","likely benign","Monitor only","moderate SYN rate; single/few sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","moderate","overwhelming","a few","complete response","moderately distributed","High","none","likely benign","Monitor only","moderate SYN rate; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","moderate","overwhelming","a few","complete response","highly distributed","High","none","likely benign","Monitor only","moderate SYN rate; highly distributed sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","moderate","overwhelming","several","no response","centralized","High","elevated","classic","Throttle source IP","moderate SYN rate; single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","moderate","overwhelming","several","no response","moderately distributed","High","elevated","ambiguous","Throttle source IP","moderate SYN rate; minimal ACK responses; over very-short timeframe"
"very-short","moderate","overwhelming","several","no response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; highly distributed sources; minimal ACK responses; over very-short timeframe; = distributed scanning"
"very-short","moderate","overwhelming","several","minimal response","centralized","High","elevated","classic","Throttle source IP","moderate SYN rate; single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","moderate","overwhelming","several","minimal response","moderately distributed","High","elevated","ambiguous","Throttle source IP","moderate SYN rate; minimal ACK responses; over very-short timeframe"
"very-short","moderate","overwhelming","several","minimal response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; highly distributed sources; minimal ACK responses; over very-short timeframe; = distributed scanning"
"very-short","moderate","overwhelming","several","partial response","centralized","High","elevated","classic","Throttle source IP","moderate SYN rate; single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","moderate","overwhelming","several","partial response","moderately distributed","High","elevated","ambiguous","Throttle source IP","moderate SYN rate; over very-short timeframe"
"very-short","moderate","overwhelming","several","partial response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","moderate","overwhelming","several","widespread response","centralized","High","elevated","classic","Throttle source IP","moderate SYN rate; single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","moderate","overwhelming","several","widespread response","moderately distributed","High","elevated","ambiguous","Throttle source IP","moderate SYN rate; over very-short timeframe"
"very-short","moderate","overwhelming","several","widespread response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","moderate","overwhelming","several","broad response","centralized","High","elevated","classic","Throttle source IP","moderate SYN rate; single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","moderate","overwhelming","several","broad response","moderately distributed","High","elevated","ambiguous","Throttle source IP","moderate SYN rate; over very-short timeframe"
"very-short","moderate","overwhelming","several","broad response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","moderate","overwhelming","several","complete response","centralized","High","none","likely benign","Monitor only","moderate SYN rate; single/few sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","moderate","overwhelming","several","complete response","moderately distributed","High","none","likely benign","Monitor only","moderate SYN rate; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","moderate","overwhelming","several","complete response","highly distributed","High","none","likely benign","Monitor only","moderate SYN rate; highly distributed sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","moderate","overwhelming","many","no response","centralized","High","elevated","classic","Throttle source IP","moderate SYN rate; multiple ports targeted; single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","moderate","overwhelming","many","no response","moderately distributed","High","elevated","ambiguous","Throttle source IP","moderate SYN rate; multiple ports targeted; minimal ACK responses; over very-short timeframe"
"very-short","moderate","overwhelming","many","no response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; multiple ports targeted; highly distributed sources; minimal ACK responses; over very-short timeframe; = distributed scanning"
"very-short","moderate","overwhelming","many","minimal response","centralized","High","elevated","classic","Throttle source IP","moderate SYN rate; multiple ports targeted; single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","moderate","overwhelming","many","minimal response","moderately distributed","High","elevated","ambiguous","Throttle source IP","moderate SYN rate; multiple ports targeted; minimal ACK responses; over very-short timeframe"
"very-short","moderate","overwhelming","many","minimal response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; multiple ports targeted; highly distributed sources; minimal ACK responses; over very-short timeframe; = distributed scanning"
"very-short","moderate","overwhelming","many","partial response","centralized","High","elevated","classic","Throttle source IP","moderate SYN rate; multiple ports targeted; single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","moderate","overwhelming","many","partial response","moderately distributed","High","elevated","ambiguous","Throttle source IP","moderate SYN rate; multiple ports targeted; over very-short timeframe"
"very-short","moderate","overwhelming","many","partial response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; multiple ports targeted; highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","moderate","overwhelming","many","widespread response","centralized","High","elevated","classic","Throttle source IP","moderate SYN rate; multiple ports targeted; single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","moderate","overwhelming","many","widespread response","moderately distributed","High","elevated","ambiguous","Throttle source IP","moderate SYN rate; multiple ports targeted; over very-short timeframe"
"very-short","moderate","overwhelming","many","widespread response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; multiple ports targeted; highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","moderate","overwhelming","many","broad response","centralized","High","elevated","classic","Throttle source IP","moderate SYN rate; multiple ports targeted; single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","moderate","overwhelming","many","broad response","moderately distributed","High","elevated","ambiguous","Throttle source IP","moderate SYN rate; multiple ports targeted; over very-short timeframe"
"very-short","moderate","overwhelming","many","broad response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; multiple ports targeted; highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","moderate","overwhelming","many","complete response","centralized","High","none","likely benign","Monitor only","moderate SYN rate; multiple ports targeted; single/few sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","moderate","overwhelming","many","complete response","moderately distributed","High","none","likely benign","Monitor only","moderate SYN rate; multiple ports targeted; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","moderate","overwhelming","many","complete response","highly distributed","High","none","likely benign","Monitor only","moderate SYN rate; multiple ports targeted; highly distributed sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","moderate","overwhelming","broad sweep","no response","centralized","High","critical","classic","Block temporarily","moderate SYN rate; broad port sweep; single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","moderate","overwhelming","broad sweep","no response","moderately distributed","High","critical","ambiguous","Block temporarily","moderate SYN rate; broad port sweep; minimal ACK responses; over very-short timeframe"
"very-short","moderate","overwhelming","broad sweep","no response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; broad port sweep; highly distributed sources; minimal ACK responses; over very-short timeframe; = distributed scanning"
"very-short","moderate","overwhelming","broad sweep","minimal response","centralized","High","critical","classic","Block temporarily","moderate SYN rate; broad port sweep; single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","moderate","overwhelming","broad sweep","minimal response","moderately distributed","High","critical","ambiguous","Block temporarily","moderate SYN rate; broad port sweep; minimal ACK responses; over very-short timeframe"
"very-short","moderate","overwhelming","broad sweep","minimal response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; broad port sweep; highly distributed sources; minimal ACK responses; over very-short timeframe; = distributed scanning"
"very-short","moderate","overwhelming","broad sweep","partial response","centralized","High","critical","classic","Block temporarily","moderate SYN rate; broad port sweep; single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","moderate","overwhelming","broad sweep","partial response","moderately distributed","High","critical","ambiguous","Block temporarily","moderate SYN rate; broad port sweep; over very-short timeframe"
"very-short","moderate","overwhelming","broad sweep","partial response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; broad port sweep; highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","moderate","overwhelming","broad sweep","widespread response","centralized","High","critical","classic","Block temporarily","moderate SYN rate; broad port sweep; single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","moderate","overwhelming","broad sweep","widespread response","moderately distributed","High","critical","ambiguous","Block temporarily","moderate SYN rate; broad port sweep; over very-short timeframe"
"very-short","moderate","overwhelming","broad sweep","widespread response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; broad port sweep; highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","moderate","overwhelming","broad sweep","broad response","centralized","High","critical","classic","Block temporarily","moderate SYN rate; broad port sweep; single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","moderate","overwhelming","broad sweep","broad response","moderately distributed","High","critical","ambiguous","Block temporarily","moderate SYN rate; broad port sweep; over very-short timeframe"
"very-short","moderate","overwhelming","broad sweep","broad response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","moderate SYN rate; broad port sweep; highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","moderate","overwhelming","broad sweep","complete response","centralized","High","none","likely benign","Monitor only","moderate SYN rate; broad port sweep; single/few sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","moderate","overwhelming","broad sweep","complete response","moderately distributed","High","none","likely benign","Monitor only","moderate SYN rate; broad port sweep; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
